SpecimenCode	Subfamily	Genus	Species	LifeStageSex	Medium	SpecimenNotes	DNANotes	LocatedAt	OwnedBy	TypeStatus	DeterminedBy	DateDetermined	CollectionCode	CollectedBy	DateCollectedStart	DateCollectedEnd	Method	Habitat	Microhabitat	CollectionNotes	LocalityName	Adm1	Adm2	Country	Elevation	ElevationMaxError	LocLatitude	LocLongitude	LatLonMaxError	Bioregion	LocalityNotes	LocalityCode	Created	uploadId
artharch00036557	dolichoderinae	linepithema	humile		Pinned Specimen	4 specimens on pin; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018233	John Mangold	2007-10-29						Ocala: 425 S.W. 33 Ave., on terminix office walls	Florida	Marion County	United States			29.176167	-82.17284		Nearctic		tc767018233	2018-09-05 17:10:25.0	307	
artharch00036558	dolichoderinae	linepithema	humile		Pinned Specimen	4 specimens on pin; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018241	Mark Deyrup	1993-03-20						Crestview: sandhill behind Days Inn	Florida	Okaloosa County	United States			30.76	-86.57		Nearctic		tc767018241	2018-09-05 17:10:25.0	307	
artharch00036559	dolichoderinae	linepithema	humile		Pinned Specimen	5 specimens on pin; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018248	Mark Deyrup	1993-03-20						Niceville, Eglin Air Force Base: headquarters	Florida	Okaloosa County	United States			30.52	-86.48		Nearctic		tc767018248	2018-09-05 17:10:25.0	307	
artharch00036560	dolichoderinae	linepithema	humile		Pinned Specimen	4 specimens on pin; other catalog number: CASENT0104147 ANTWEB; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018255	Mark Deyrup	1988-09-28						John Stretch Park: US27	Florida	Palm Beach County	United States			26.69	-80.82		Nearctic		tc767018255	2018-09-05 17:10:25.0	307	
artharch00036561	dolichoderinae	linepithema	humile		Pinned Specimen	4 specimens on pin; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018263	Mark Deyrup	1994-09-13						St. Petersburg, Boyd Hill Nature Preserve: pine-palmetto hammock	Florida	Pinellas County	United States			27.77	-82.68		Nearctic		tc767018263	2018-09-05 17:10:25.0	307	
artharch00036562	dolichoderinae	linepithema	humile		Pinned Specimen	3 specimens on pin; Specimen voucher for Ants of Florida CRC Press 2016; Images of this species available atÂ https://www.antweb.org		ABS	ABS, Lake Placid, FL, USA				tc767018271	Mark Deyrup	1990-01-19						: Jct. US27 & I-4	Florida	Polk County	United States			28.24	-81.65		Nearctic		tc767018271	2018-09-05 17:10:25.0	307	
awlit-ba03042	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235572		2011-01-01							Santa Catarina	Abelardo Luz	Brazil			-26.5661	-52.3277		Neotropical		tc1462212520	2019-05-20 07:31:19.0	506	
awlit-ba03043	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235584		2011-01-01							Santa Catarina	Campo ErÃª	Brazil			-26.3941	-53.0788		Neotropical		tc1462212526	2019-05-20 07:31:19.0	506	
awlit-ba03044	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235594		2011-01-01							Santa Catarina	ChapecÃ³	Brazil			-27.0975	-52.6419		Neotropical		tc1462212532	2019-05-20 07:31:19.0	506	
awlit-ba03045	dolichoderinae	linepithema	humile			Lutinski, J. A. Lopes, B. C. and de Morais A. B. B. 2013. Diversidade de formigas urbanas (Hymenoptera: Formicidae) de dez cidades do sul do Brasil. Biota Neotropica 13:332â€“342.							tc1462235601		2011-01-01							Santa Catarina	ConcÃ³rdia	Brazil			-27.2255	-52.0205		Neotropical		tc1462212538	2019-05-20 07:31:19.0	506	
